FID,Name,Address,City,Zipcode,geom
Schools_Elementary.fid--710a7ce6_150abe9529f_-165b,Pointers Run,6600 SOUTH TROTTER RD,Clarksville,21029,POINT (1333256.470770811 555248.194005108)
Schools_Elementary.fid--710a7ce6_150abe9529f_-165a,VETERANS,4355 MONTGOMERY RD,Ellicott City,21043,POINT (1365280.355697197 578142.4241063345)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1659,Gorman Crossing,9999 WINTER SUN RD,Laurel,20723,POINT (1352136.5208565898 538470.3497410673)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1658,Thunder Hill,9357 MELLENBROOK RD,Columbia,21045,POINT (1359190.8949519782 569034.719084409)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1657,Ilchester,4981 ILCHESTER RD,Ellicott City,21043,POINT (1376357.3970652837 569880.5181690286)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1656,Deep Run,6925 OLD WATERLOO RD,Elkridge,21075,POINT (1372851.281828694 552927.9534712447)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1655,Triadelphia Ridge,13400 TRIADELPHIA RD,Ellicott City,21042,POINT (1318111.1065392992 582626.6225750344)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1654,Hammond,8110 ALADDIN DR,Laurel,20723,POINT (1346842.520980574 539560.523301693)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1653,Laurel Woods,9250 NORTH LAUREL RD,Laurel,20723,POINT (1357184.0976082976 528472.946028054)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1652,Cradlerock,6700 CRADLEROCK WAY,Columbia,21045,POINT (1356889.3849168748 555564.856499765)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1651,Waverly,10220 WETHERBURN RD,Ellicott City,21042,POINT (1349501.6664763715 596687.3738627398)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1650,Centennial Lane,3825 CENTENNIAL LN,Ellicott City,21042,POINT (1351505.2445155778 582523.0195037696)
Schools_Elementary.fid--710a7ce6_150abe9529f_-164f,Talbott Springs,9550 BASKET RING RD,Columbia,21045,POINT (1356699.1532888461 563223.5818441984)
Schools_Elementary.fid--710a7ce6_150abe9529f_-164e,Clemens Crossing,10320 QUARTERSTAFF RD,Columbia,21044,POINT (1348355.3014194665 556356.8054004504)
Schools_Elementary.fid--710a7ce6_150abe9529f_-164d,Phelps Luck,5370 OLDSTONE CT,Columbia,21045,POINT (1363830.4980275757 566602.9735501165)
Schools_Elementary.fid--710a7ce6_150abe9529f_-164c,Running Brook,5215 WEST RUNNING BROOK RD,Columbia,21044,POINT (1352745.8473943677 568939.6032703946)
Schools_Elementary.fid--710a7ce6_150abe9529f_-164b,Longfellow,5470 HESPERUS DR,Columbia,21044,POINT (1345908.922683018 568184.8227031856)
Schools_Elementary.fid--710a7ce6_150abe9529f_-164a,Guilford,7335 OAKLAND MILLS RD,Columbia,21046,POINT (1360590.1217421398 547325.1930297363)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1649,Manor Woods,11575 FREDERICK RD,Ellicott City,21042,POINT (1336683.5667157578 591584.7762709251)
Schools_Elementary.fid--710a7ce6_150abe9529f_-1648,Bushy Park,14601 CARRS MILL RD,Woodbine,21797,POINT (1306019.398933712 595401.9933853523)
